ProjectID,EmployeeID,Project_Name,Project_Description,Tech_Stack_Used,Domain,Project_Role,Project_Success_Score,Individual_Performance_Score
5001,2106,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Angular, Python, AWS, Kubernetes.","Go,Angular,Python,AWS,Kubernetes",SaaS,Research Scientist,0.96,0.97
5001,1317,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Angular, Python, AWS, Kubernetes.","Go,Angular,Python,AWS,Kubernetes",SaaS,CI/CD Specialist,0.96,0.96
5001,2006,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Angular, Python, AWS, Kubernetes.","Go,Angular,Python,AWS,Kubernetes",SaaS,SRE,0.96,1.0
5001,1821,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Angular, Python, AWS, Kubernetes.","Go,Angular,Python,AWS,Kubernetes",SaaS,System Designer,0.96,0.95
5002,1968,Portfolio Management Dashboard,"Created a React-based dashboard for financial advisors to manage client portfolios, with data streamed via Kafka from a PostgreSQL database. The project utilized a tech stack including React, Java, Kafka, AWS, PostgreSQL.","React,Java,Kafka,AWS,PostgreSQL",Fintech,Interaction Designer,0.89,0.81
5002,1571,Portfolio Management Dashboard,"Created a React-based dashboard for financial advisors to manage client portfolios, with data streamed via Kafka from a PostgreSQL database. The project utilized a tech stack including React, Java, Kafka, AWS, PostgreSQL.","React,Java,Kafka,AWS,PostgreSQL",Fintech,Automation Tester,0.89,1.0
5002,1986,Portfolio Management Dashboard,"Created a React-based dashboard for financial advisors to manage client portfolios, with data streamed via Kafka from a PostgreSQL database. The project utilized a tech stack including React, Java, Kafka, AWS, PostgreSQL.","React,Java,Kafka,AWS,PostgreSQL",Fintech,Tech Lead,0.89,0.83
5002,2095,Portfolio Management Dashboard,"Created a React-based dashboard for financial advisors to manage client portfolios, with data streamed via Kafka from a PostgreSQL database. The project utilized a tech stack including React, Java, Kafka, AWS, PostgreSQL.","React,Java,Kafka,AWS,PostgreSQL",Fintech,Module Owner,0.89,0.8
5003,1161,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, Kafka, AWS, Kubernetes.","React,Java,Kafka,AWS,Kubernetes",Fintech,Solution Architect,0.83,0.81
5003,1272,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, Kafka, AWS, Kubernetes.","React,Java,Kafka,AWS,Kubernetes",Fintech,Solution Architect,0.83,0.89
